asset,date,close,sma30,sma50,sma60,sma100,sma120,sma200,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,drawdown
KOSDAQ,2024-06-27,838.65,851.948,854.0824,858.1213,860.6985,859.8475,848.2999,98.4391,98.1931,97.7309,97.4383,97.5347,98.8624,-10.7781
KOSDAQ,2024-06-28,840.44,850.9503,853.8428,857.037,860.9143,859.5268,847.8601,98.7649,98.4303,98.0634,97.6218,97.7794,99.1248,-10.5877
KOSDAQ,2024-07-01,847.15,850.6867,854.1296,855.9487,861.3934,859.3233,847.4971,99.5843,99.1828,98.9721,98.3465,98.5834,99.959,-9.8738
KOSDAQ,2024-07-02,829.91,850.1143,854.0672,854.9207,861.7052,859.0204,847.0509,97.6233,97.1715,97.0745,96.3102,96.6112,97.9764,-11.7079
KOSDAQ,2024-07-03,836.1,849.7673,853.6762,854.1897,861.9185,858.6685,846.624,98.3916,97.9411,97.8822,97.0045,97.3717,98.7569,-11.0494
KOSDAQ,2024-07-04,840.81,849.6037,853.6542,853.4882,862.2467,858.3474,846.2383,98.965,98.4954,98.5145,97.5139,97.9568,99.3585,-10.5483
KOSDAQ,2024-07-05,847.49,849.634,853.6876,853.0748,862.6513,858.0378,845.9439,99.7477,99.274,99.3453,98.2425,98.7707,100.1828,-9.8377
KOSDAQ,2024-07-08,859.27,850.296,853.9642,853.0532,863.1248,857.9029,845.6694,101.0554,100.6213,100.7288,99.5534,100.1594,101.6083,-8.5844
KOSDAQ,2024-07-09,860.42,850.7103,853.928,853.0713,863.4632,857.7187,845.4088,101.1414,100.7602,100.8614,99.6476,100.3149,101.7756,-8.4621
KOSDAQ,2024-07-10,858.55,850.9617,854.0338,853.0788,863.5972,857.6392,845.2113,100.8917,100.5288,100.6413,99.4156,100.1062,101.5781,-8.661
KOSDAQ,2024-07-11,852.42,851.4273,853.9458,852.9447,863.5884,857.5785,845.0598,100.1166,99.8213,99.9385,98.7067,99.3985,100.871,-9.3132
KOSDAQ,2024-07-12,850.37,852.04,853.5588,852.9105,863.5,857.5413,844.8143,99.804,99.6264,99.7021,98.4794,99.1637,100.6576,-9.5313
KOSDAQ,2024-07-15,852.88,852.47,853.2378,853.245,863.4528,857.7066,844.5836,100.0481,99.9581,99.9572,98.7755,99.4373,100.9823,-9.2642
KOSDAQ,2024-07-16,839.61,852.2997,852.6804,853.3547,863.2642,857.7006,844.3252,98.5111,98.4671,98.3893,97.2599,97.8908,99.4415,-10.676
KOSDAQ,2024-07-17,829.41,851.752,851.9568,852.9173,862.8966,857.5901,844.0527,97.3769,97.3535,97.2439,96.1193,96.714,98.2652,-11.7611
KOSDAQ,2024-07-18,822.48,850.8097,850.9812,852.5935,862.4807,857.4467,843.7515,96.6703,96.6508,96.468,95.3621,95.922,97.4789,-12.4984
KOSDAQ,2024-07-19,828.72,849.561,850.1072,852.3085,862.0668,857.3517,843.5917,97.5468,97.4842,97.2324,96.1318,96.6604,98.2371,-11.8346
KOSDAQ,2024-07-22,809.96,847.736,848.9034,851.7172,861.4807,857.133,843.3548,95.5439,95.4125,95.0973,94.0195,94.4964,96.0402,-13.8304
KOSDAQ,2024-07-23,812.12,845.8613,847.8626,850.882,860.9279,857.0362,843.2196,96.011,95.7844,95.4445,94.3308,94.7591,96.3118,-13.6006
KOSDAQ,2024-07-24,814.25,843.9807,847.059,850.2318,860.5329,856.8446,843.1517,96.4773,96.1267,95.768,94.6216,95.0289,96.5722,-13.374
KOSDAQ,2024-07-25,797.29,841.5127,845.7618,849.2397,859.8719,856.6625,842.933,94.7449,94.2689,93.8828,92.7219,93.0693,94.5852,-15.1783
KOSDAQ,2024-07-26,797.56,839.3583,844.3056,848.037,859.2179,856.485,842.8838,95.0202,94.4634,94.0478,92.824,93.1201,94.6228,-15.1496
KOSDAQ,2024-07-29,807.99,837.6593,843.3642,847.0213,858.5681,856.5579,842.9187,96.4581,95.8056,95.3919,94.109,94.3299,95.8562,-14.04
KOSDAQ,2024-07-30,803.78,835.8203,842.4982,845.9597,857.9422,856.6,842.8556,96.1666,95.4044,95.014,93.687,93.8338,95.3639,-14.4878
KOSDAQ,2024-07-31,803.15,833.8863,841.631,844.919,857.267,856.5032,842.8964,96.3141,95.4278,95.0565,93.6873,93.7708,95.2845,-14.5549
KOSDAQ,2024-08-01,813.53,832.4203,840.9872,843.9568,856.7686,856.5493,842.8785,97.7307,96.7351,96.3947,94.9533,94.9776,96.5181,-13.4506
KOSDAQ,2024-08-02,779.33,829.9757,839.6422,842.4053,855.8301,856.3185,842.5977,93.8979,92.8169,92.5125,91.0613,91.0094,92.4914,-17.089
KOSDAQ,2024-08-05,691.28,824.9677,836.6796,839.4242,853.9836,855.3132,841.9402,83.7948,82.6218,82.3517,80.9477,80.8219,82.1056,-26.4337
KOSDAQ,2024-08-06,732.87,821.3303,834.3772,837.236,852.4152,854.5322,841.5518,89.2296,87.8344,87.5345,85.9757,85.7627,87.0855,-22.0077
KOSDAQ,2024-08-07,748.54,818.211,832.3278,835.4712,851.0013,853.7272,841.1926,91.485,89.9333,89.595,87.9599,87.6791,88.9856,-20.3401
KOSDAQ,2024-08-08,745.28,815.0987,830.4644,833.5233,849.5789,852.827,840.8746,91.4343,89.7426,89.4132,87.7235,87.3894,88.6315,-20.687
KOSDAQ,2024-08-09,764.43,812.565,829.1132,831.7577,848.4186,852.0372,840.7765,94.0762,92.1985,91.9054,90.1006,89.7179,90.9195,-18.6491
KOSDAQ,2024-08-12,772.72,810.084,827.768,830.3853,847.201,851.3298,840.7939,95.3876,93.3498,93.0556,91.2086,90.7662,91.9036,-16.7686
KOSDAQ,2024-08-13,764.86,807.9157,826.1708,829.015,845.9305,850.5497,840.7997,94.6708,92.5789,92.2613,90.4164,89.9254,90.9682,-17.6153
KOSDAQ,2024-08-14,776.83,805.94,824.7906,827.8537,844.7843,849.8052,840.7596,96.3881,94.1851,93.8366,91.956,91.4127,92.3962,-16.3259
