date,asset,name,close,change_pct,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,current_drawdown_pct,mdd_252_pct,source,generated_at
2026-07-20,SPX,S&P500,7443.2798,-0.1932,99.7854,99.6898,100.2893,104.0137,104.6239,106.4694,-2.188,-9.0975,Yahoo Finance fallback,2026-07-21T18:14:57+09:00
2026-07-20,USDKRW,원/달러,1475.52,-0.2252,97.0274,97.3841,97.8833,98.4315,99.014,100.0391,-5.0795,-5.0795,Yahoo Finance fallback,2026-07-21T06:44:44+09:00
2026-07-20,VKOSPI,VKOSPI,86.91,-0.26,,,,,,,-14.6689,-19.3831,Investing.com KOSPI Volatility 화면; 사용자 제공 스크린샷,2026-07-22T16:20:24+09:00
2026-07-21,KOSDAQ,KOSDAQ,753.34,0.4936,84.299,76.9581,74.1214,71.0973,70.54,75.1644,-38.562,-38.8638,Yahoo Finance fallback + Naver Finance latest-day overlay,2026-07-22T06:41:23+09:00
2026-07-21,KOSPI,KOSPI,6747.95,3.5554,84.7855,84.8757,87.0242,97.3311,101.3372,120.1533,-25.9651,-28.5069,Yahoo Finance fallback + Naver Finance latest-day overlay,2026-07-22T06:41:23+09:00
2026-07-21,NDX,나스닥100,29155.1797,1.9261,98.8594,98.6283,99.6843,106.0271,107.5744,110.5306,-4.9099,-12.1228,Yahoo Finance fallback,2026-07-22T16:20:24+09:00
2026-07-21,SAMSUNG,삼성전자,259000.0,6.1475,83.8414,84.7319,88.2553,101.8682,108.0577,138.5898,-28.5517,-32.6897,KRX(pykrx),2026-07-22T06:41:23+09:00
2026-07-21,SKHYNIX,SK하이닉스,1836000.0,4.0816,79.2336,83.5974,89.3032,112.8874,122.528,163.5387,-37.1017,-39.5683,KRX(pykrx),2026-07-22T06:41:23+09:00
2026-07-21,SOX,SOX,12356.1602,5.2139,94.82,96.765,99.5209,114.9533,119.8196,136.7019,-15.5695,-20.2315,Yahoo Finance fallback,2026-07-22T16:20:24+09:00
2026-07-21,SPX,S&P500,7509.2002,0.8856,100.6128,100.5263,101.0865,104.8524,105.4849,107.3511,-1.3217,-9.0975,Yahoo Finance fallback,2026-07-22T16:20:24+09:00
2026-07-21,USDKRW,원/달러,1479.67,-0.519,97.38,97.636,98.1385,98.6825,99.2708,100.2967,-4.8125,-4.8653,Yahoo Finance fallback,2026-07-22T06:41:23+09:00
2026-07-22,KOSDAQ,KOSDAQ,751.09,-0.2987,84.7322,77.4508,74.4249,71.1629,70.4498,74.986,-38.7455,-38.8638,Yahoo Finance fallback,2026-07-22T16:20:24+09:00
2026-07-22,KOSPI,KOSPI,6797.7,0.7373,85.8779,85.6524,87.5943,97.9317,101.8491,120.6815,-25.4192,-28.5069,Yahoo Finance fallback,2026-07-22T16:20:24+09:00
2026-07-22,SAMSUNG,삼성전자,260500.0,0.5792,84.8903,85.2673,88.5502,102.215,108.2762,138.7354,-28.1379,-32.6897,KRX(pykrx),2026-07-22T16:20:24+09:00
2026-07-22,SKHYNIX,SK하이닉스,1830000.0,-0.3268,79.4144,83.2151,88.5755,111.9506,121.4018,161.9376,-37.3073,-39.5683,KRX(pykrx),2026-07-22T16:20:24+09:00
2026-07-22,USDKRW,원/달러,1478.6,0.2434,97.4204,97.59,98.0655,98.6171,99.1839,100.2089,-4.8814,-5.1123,Yahoo Finance fallback,2026-07-22T16:20:24+09:00
