date,individual_net_buy_trn,kospi_return_pct,source,generated_at
2026-01-30,2.2979,0.0596,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-02,4.5874,-5.2579,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-03,-2.9423,6.837,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-04,-1.0119,1.5699,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-05,6.7791,-3.8638,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-06,2.1736,-1.4414,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-09,-3.2947,4.1048,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-10,-0.878,0.0689,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-11,-1.7149,0.9959,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-12,-4.4547,3.1334,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-13,0.7141,-0.2763,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-19,-0.8609,3.0913,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-20,-0.9872,2.3124,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-23,1.0815,0.6466,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-24,-2.2861,2.1134,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-25,0.2307,1.9133,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-26,0.6498,3.6722,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-02-27,6.2496,-1.0011,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-03,5.7974,-7.2423,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-04,0.0796,-12.0577,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-05,1.8228,9.6271,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-06,2.9488,0.0174,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-09,4.6242,-5.9625,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-10,-1.834,5.3451,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-11,-0.5086,1.3983,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-12,2.2291,-0.4759,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-13,2.4512,-1.7196,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-16,0.7164,1.141,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-17,-0.5752,1.633,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-18,-3.8717,5.0448,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-19,2.4116,-2.7309,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-20,2.2338,0.312,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-23,7.0029,-6.4943,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-24,0.727,2.741,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-25,-1.3402,1.5897,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-26,3.0598,-3.2213,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-27,2.2596,-0.3954,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-30,0.8945,-2.9707,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-03-31,2.44,-4.2605,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-01,-3.7628,8.4363,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-02,1.2097,-4.4655,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-03,-2.0952,2.7369,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-06,-1.0502,1.3581,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-07,-0.3429,0.8155,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
